name,team,position,height,weight,age
Adam Donachie,BAL,Catcher,74.0,180.0,24.99
Paul Bako,BAL,Catcher,74.0,215.0,36.69
Ramon Hernandez,BAL,Catcher,72.0,210.0,32.78
Kevin Millar,BAL,First Baseman,72.0,210.0,37.43
Chris Gomez,BAL,First Baseman,73.0,188.0,37.71
Brian Roberts,BAL,Second Baseman,69.0,176.0,31.39
Miguel Tejada,BAL,Shortstop,69.0,209.0,32.769999999999996
Melvin Mora,BAL,Third Baseman,71.0,200.0,37.07
Aubrey Huff,BAL,Third Baseman,76.0,231.0,32.19
Adam Stern,BAL,Outfielder,71.0,180.0,29.05
Jeff Fiorentino,BAL,Outfielder,73.0,188.0,25.88
Freddie Bynum,BAL,Outfielder,73.0,180.0,28.96
Nick Markakis,BAL,Outfielder,74.0,185.0,25.29
Brandon Fahey,BAL,Outfielder,74.0,160.0,28.11
Corey Patterson,BAL,Outfielder,69.0,180.0,29.55
Jay Payton,BAL,Outfielder,70.0,185.0,36.27
Jay Gibbons,BAL,Designated Hitter,72.0,197.0,32.0
Erik Bedard,BAL,Starting Pitcher,73.0,189.0,29.99
Hayden Penn,BAL,Starting Pitcher,75.0,185.0,24.38
Adam Loewen,BAL,Starting Pitcher,78.0,219.0,24.89
Daniel Cabrera,BAL,Starting Pitcher,79.0,230.0,27.76
Steve Trachsel,BAL,Starting Pitcher,76.0,205.0,38.33
Jaret Wright,BAL,Starting Pitcher,74.0,230.0,33.17
Kris Benson,BAL,Starting Pitcher,76.0,195.0,34.31
Scott Williamson,BAL,Relief Pitcher,72.0,180.0,33.03
John Parrish,BAL,Relief Pitcher,71.0,192.0,31.26
Danys Baez,BAL,Relief Pitcher,75.0,225.0,31.47
Chad Bradford,BAL,Relief Pitcher,77.0,203.0,34.46
Jamie Walker,BAL,Relief Pitcher,74.0,195.0,37.67
Brian Burres,BAL,Relief Pitcher,73.0,182.0,27.89
Kurt Birkins,BAL,Relief Pitcher,74.0,188.0,28.55
James Hoey,BAL,Relief Pitcher,78.0,200.0,26.17
Sendy Rleal,BAL,Relief Pitcher,73.0,180.0,28.69
Chris Ray,BAL,Relief Pitcher,75.0,200.0,27.13
Jeremy Guthrie,BAL,Relief Pitcher,73.0,200.0,29.9
A.J. Pierzynski,CWS,Catcher,75.0,245.0,32.17
Toby Hall,CWS,Catcher,75.0,240.0,33.36
Paul Konerko,CWS,First Baseman,74.0,215.0,32.989999999999995
Tadahito Iguchi,CWS,Second Baseman,69.0,185.0,34.24
Juan Uribe,CWS,Shortstop,71.0,175.0,29.61
